Company Name,Primary Careers URL,Workday URL,Greenhouse URL,Lever URL,Jobs Page Fallback
AMAZON WEB SERVICES INC,https://www.amazonwebservices.com/careers,https://amazonwebservices.wd1.myworkdayjobs.com,https://boards.greenhouse.io/amazonwebservices,https://jobs.lever.co/amazonwebservices,https://www.amazonwebservices.com/jobs
LTIMINDTREE LIMITED,https://www.ltimindtree.com/careers,https://ltimindtree.wd1.myworkdayjobs.com,https://boards.greenhouse.io/ltimindtree,https://jobs.lever.co/ltimindtree,https://www.ltimindtree.com/jobs
TATA CONSULTANCY SERVICES LIMITED,https://www.tataconsultancyservices.com/careers,https://tataconsultancyservices.wd1.myworkdayjobs.com,https://boards.greenhouse.io/tataconsultancyservices,https://jobs.lever.co/tataconsultancyservices,https://www.tataconsultancyservices.com/jobs
INTEL CORPORATION,https://www.intel.com/careers,https://intel.wd1.myworkdayjobs.com,https://boards.greenhouse.io/intel,https://jobs.lever.co/intel,https://www.intel.com/jobs
IBM CORPORATION,https://www.ibm.com/careers,https://ibm.wd1.myworkdayjobs.com,https://boards.greenhouse.io/ibm,https://jobs.lever.co/ibm,https://www.ibm.com/jobs
APPLE INC,https://www.apple.com/careers,https://apple.wd1.myworkdayjobs.com,https://boards.greenhouse.io/apple,https://jobs.lever.co/apple,https://www.apple.com/jobs
AMAZON DEVELOPMENT CENTER U S INC,https://www.amazondevelopmentcenterus.com/careers,https://amazondevelopmentcenterus.wd1.myworkdayjobs.com,https://boards.greenhouse.io/amazondevelopmentcenterus,https://jobs.lever.co/amazondevelopmentcenterus,https://www.amazondevelopmentcenterus.com/jobs
WAL-MART ASSOCIATES INC,https://www.walmartassociates.com/careers,https://walmartassociates.wd1.myworkdayjobs.com,https://boards.greenhouse.io/walmartassociates,https://jobs.lever.co/walmartassociates,https://www.walmartassociates.com/jobs
WIPRO LIMITED,https://www.wipro.com/careers,https://wipro.wd1.myworkdayjobs.com,https://boards.greenhouse.io/wipro,https://jobs.lever.co/wipro,https://www.wipro.com/jobs
MICROSOFT CORPORATION,https://www.microsoft.com/careers,https://microsoft.wd1.myworkdayjobs.com,https://boards.greenhouse.io/microsoft,https://jobs.lever.co/microsoft,https://www.microsoft.com/jobs
NVIDIA CORPORATION,https://www.nvidia.com/careers,https://nvidia.wd1.myworkdayjobs.com,https://boards.greenhouse.io/nvidia,https://jobs.lever.co/nvidia,https://www.nvidia.com/jobs
